schoolname,school,filename,score,num_fixtures,lat,long
Talcott,Talcott,IndividualSchool_Talcott_610197.pdf,0.010526315789473684,19,41.892405,-87.673723
Talman,Talman,Individualschool_Talman_610249.pdf,0.0,9,41.794048,-87.69026099999999
Tanner,Tanner,Individualschool_Tanner_610279.pdf,0.2,5,41.760673,-87.606791
Tarkington,Tarkington,IndividualSchool_Tarkington_610396.pdf,0.005714285714285714,35,41.764407,-87.706445
Taylor,Taylor,Individualschool_Taylor_610198.pdf,0.0,11,41.71547,-87.53297099999999
Team Hs,Teamhs,IndividualSchool_TeamHS_610506.pdf,0.004761904761904762,42,41.781484999999996,-87.63301899999999
Thomas,Thomas,Individualschool_Thomas_610504.pdf,0.0,5,41.827775,-87.677542
Thorp J,Thorpj,Individualschool_ThorpJ_610200.pdf,0.0,18,41.733323999999996,-87.54428
Thorp O,Thorpo,IndividualSchool_ThorpO_610201.pdf,0.0,15,41.948571,-87.777631
Tilden Hs,Tildenhs,IndividualSchool_TildenHS_609735.pdf,0.0071428571428571435,28,41.80751,-87.642966
Till,Till,Individualschool_Till_610065.pdf,0.015384615384615385,13,41.775424,-87.60935699999999
Tilton,Tilton,Individualschool_Tilton_610202.pdf,0.023529411764705882,17,41.884102,-87.73056600000001
Tonti,Tonti,Individualschool_Tonti_610203.pdf,0.005128205128205128,39,41.787523,-87.708179
Turner-Drew,Turnerdrew,IndividualSchool_TurnerDrew_609895.pdf,0.0,11,41.725609000000006,-87.63016400000001
Twain,Twain,Individualschool_Twain_610206.pdf,0.008333333333333333,24,41.799046000000004,-87.758928
U Of C - Woodlawn Hs,Uofcwoodlawn,IndividualSchool_UofCWoodlawn_400077.pdf,0.0,18,41.77813,-87.598114
Uplift Hs,Uplifths,IndividualSchool_UpliftHS_610394.pdf,0.0,36,41.965546999999994,-87.652473
Vanderpoel,Vanderpoel,IndividualSchool_Vanderpoel_610207.pdf,0.0,11,41.720817,-87.665559
Vaughn Hs,Vaughnhs,IndividualSchool_VaughnHS_609766.pdf,0.0,12,41.960364,-87.764663
Vick,Vick,Individualschool_Vick_609871.pdf,0.0,6,41.688190999999996,-87.685677
Volta,Volta,IndividualSchool_Volta_610209.pdf,0.0,22,41.971634,-87.72460500000001
Von Linne,Vonlinne,Individualschool_VonLinne_610039.pdf,0.0,14,41.940009,-87.702635
Von Steuben Hs,Vonsteuben,IndividualSchool_VonSteuben_609737.pdf,0.0489795918367347,35,41.973185,-87.713386
Wacker,Wacker,Individualschool_Wacker_610366.pdf,0.0,11,41.716193,-87.648044
Wadsworth,Wadsworth,Individualschool_Wadsworth_610213.pdf,0.0,18,41.773478000000004,-87.60101800000001
Walsh,Walsh,IndividualSchool_Walsh_610216.pdf,0.0,21,41.854836,-87.64808599999999
Ward J,Wardj,Individualschool_WardJ_610217.pdf,0.0,7,41.84398,-87.635356
Ward L,Wardl,Individualschool_WardL_610133.pdf,0.0,16,41.893236,-87.718797
Warren,Warren,Individualschool_Warren_610218.pdf,0.03333333333333333,6,41.726763,-87.575353
Washington H Es,Washington,Individualschool_Washington_610124.pdf,0.0,4,41.728534,-87.596257
Washington G,Washingtong,Individualschool_WashingtonG_610219.pdf,0.044444444444444446,18,41.688131,-87.536015
Washington Hs,Washingtonghs,IndividualSchool_WashingtonGHS_609739.pdf,0.02666666666666667,30,41.688137,-87.53757
Waters,Waters,IndividualSchool_Waters_610220.pdf,0.0,16,41.964365,-87.691333
Webster,Webster,Individualschool_Webster_610221.pdf,0.0,5,41.869915999999996,-87.727524
Wells Es,Wells,IndividualSchool_Wells_610110.pdf,0.08333333333333333,12,41.827355,-87.61978
Wells Hs,Wellshs,IndividualSchool_WellsHS_609740.pdf,0.02553191489361702,47,41.898995,-87.66748299999999
Wentworth,Wentworth,Individualschool_Wentworth_610223.pdf,0.175,16,41.765076,-87.65820500000001
Westcott,Westcott,Individualschool_Westcott_610300.pdf,0.0,6,41.748868,-87.634751
Westinghouse Hs,Westinghousehs,IndividualSchool_WestinghouseHS_609693.pdf,0.006896551724137932,29,41.889977,-87.707332
West Park,Westpark,IndividualSchool_WestPark_610100.pdf,0.0071428571428571435,28,41.906907000000004,-87.732443
West Ridge,Westridge,IndividualSchool_WestRidge_610542.pdf,0.00625,32,42.002959000000004,-87.705917
Whistler,Whistler,IndividualSchool_Whistler_610225.pdf,0.0,13,41.683907,-87.655384
White,White,Individualschool_White_610315.pdf,0.0,11,41.672309000000006,-87.650539
Whitney,Whitney,Individualschool_Whitney_610227.pdf,0.0,24,41.84008,-87.725546
Whittier,Whittier,Individualschool_whittier_610228.pdf,0.0,11,41.850481,-87.673392
Wildwood,Wildwood,IndividualSchool_Wildwood_610230.pdf,0.0,18,42.007490999999995,-87.778345
Williams Hs,Williams,IndividualSchool_Williams_610380.pdf,0.004878048780487805,41,41.806118,-87.62503000000001
Woodlawn,Woodlawn,IndividualSchool_Woodlawn_609977.pdf,0.08888888888888889,9,41.773365999999996,-87.594392
Woodson,Woodson,Individualschool_Woodson_610345.pdf,0.00808080808080808,33,41.814499,-87.608419
World Language Hs,Worldlanguagehs,IndividualSchool_WorldLanguageHS_610392.pdf,0.010810810810810811,37,41.834396999999996,-87.735292
Yates,Yates,IndividualSchool_Yates_610234.pdf,0.0,45,41.915039,-87.70028
Young Es,Young,IndividualSchool_Young_610235.pdf,0.006060606060606061,33,41.906791,-87.767143
Young Hs,Younghs,IndividualSchool_YoungHS_ 609755.pdf,0.0391304347826087,46,41.878603000000005,-87.664233
Young Womens Hs,Youngwomenshs,IndividualSchool_YoungWomensHS_400087.pdf,0.0,9,41.844544,-87.618724
Zapata,Zapata,Individualschool_Zapata_609973.pdf,0.006277056277056278,22,41.841394,-87.734313
