park_name,num_fixtures,score
Lindbloom,6,0.3333333333333333
Linden,1,0.0
Little Venice,1,0.0
Livingston,2,0.0
Logan Square Skate Park,2,0.0
Lowe,4,0.0
Loyola,11,0.18181818181818182
Luella,3,0.6666666666666666
Luna,1,1.0
Lunt,1,0.0
Maggie Daley,3,0.0
Magnolia,1,0.0
Malus,2,1.0
Mandrake,9,0.0
Mann,12,0.0
Maple,1,1.0
Maplewood,3,1.0
Marquette,25,0.12
Marshfield,2,0.0
Mason,2,0.0
Matanky,1,0.0
Mather,5,0.0
Mayfair,4,0.0
McFetridge,4,0.0
McGuane,16,0.3125
McInerney,1,0.0
McKiernan,3,0.3333333333333333
McKinley,10,0.2
Mellin,3,0.0
Memorial Playlot,3,0.3333333333333333
Merrill,1,0.0
Merrimac,9,0.0
Merryman,3,0.0
Metcalfe,4,1.0
Meyering,4,0.0
Miami,3,0.0
Micek,3,0.0
Midway Plaisance,6,0.16666666666666666
Miller,2,1.0
Minuteman,4,1.0
Moccasin Ranch,1,1.0
Monticello,1,0.0
Monument,1,1.0
Moore,5,0.0
Moran,4,0.5
Morgan Field,1,0.0
Morgan Park Sports Center,4,0.0
Mozart,3,0.3333333333333333
Mt. Greenwood,11,0.36363636363636365
Mulberry,1,0.0
Munroe,5,0.0
Murray,2,1.0
Nichols,5,0.2
Ninebark,1,1.0
Noethling,2,0.5
Normandy,5,0.2
North Mayfair,1,1.0
North Park Village Nature Center,1,0.0
Northerly Island,5,0.0
Norwood Park,15,0.3333333333333333
Nottingham,2,0.0
O'Hallaren,6,0.16666666666666666
Oakdale,7,0.14285714285714285
Ogden,8,0.0
Ohio,3,0.0
Ohio and Harding,2,1.0
Olympia,6,0.3333333333333333
Oriole,10,0.3
Owens,6,0.0
Oz,8,0.625
Packingtown,1,1.0
Palmer,13,0.15384615384615385
Palmer Ceramics Building,1,0.0
Palmer Men's Gym Building,1,0.0
Palmer Square,4,0.0
Palmisano,2,0.0
Park 399,2,0.0
Park 442,1,1.0
Park 500,1,0.0
Park 514,4,0.0
Park 551,4,0.0
Park 552,2,0.0
Park 556,3,0.0
Park 568,2,0.0
Park 569,3,0.0
Park 572,9,0.0
Park 574,3,0.0
Park View,2,1.0
Park West,2,1.0
Parsons,3,0.0
Paschen,1,1.0
Pasteur,3,0.3333333333333333
Periwinkle,2,1.0
Peterson,5,0.4
Pietrowski,2,0.0
Pine,2,0.0
Ping Tom,13,0.0
Piotrowski,23,0.17391304347826086
Pleasant Point,3,0.0
Poplar,2,0.0
Portage,25,0.52
Portage Senior Center,2,0.0
Pottawatomie,9,0.1111111111111111
Pritzker,2,0.0
Privet,1,1.0
Prospect Gardens,2,0.5
Pulaski,10,0.0
Railroad Junction,1,1.0
Rainbow Beach,9,0.1111111111111111
Rainer,3,0.0
Ravenswood Manor,1,0.0
Renaissance,1,0.0
Revere,8,0.25
Revere Boys & Girls Club,2,0.0
Reyes,1,1.0
Ridge,8,0.125
Riis,18,0.2222222222222222
River,16,0.0
Roberts Square,1,0.0
Robichaux,7,0.14285714285714285
Robinson,6,0.0
Rogers,5,0.4
Rogers Beach,2,1.0
Ronan,5,0.0
Roosevelt,1,1.0
Rosedale,5,0.0
Rosenblum,6,0.0
Rowan,6,0.3333333333333333
Russell Square,6,0.5
Rutherford Sayre,7,0.0
Sacramento,2,1.0
Sauganash,6,0.0
Schaefer,1,1.0
Schreiber,5,0.0
Scottsdale,2,0.0
Seneca,2,0.0
Senka,11,0.0
Senn,10,0.3
Seward,7,0.14285714285714285
Shabonna,13,0.15384615384615385
Shedd,4,0.0
Sheil,4,0.0
Sheridan,12,0.16666666666666666
Sherman,13,0.3076923076923077
Sherwood,6,0.0
Simons,3,0.6666666666666666
Skinner,11,0.0
Smith (Joseph Higgins),9,0.4444444444444444
Smith (Wendell),4,0.5
Snapping Turtle,1,0.0
Snowberry,1,0.0
South Lakeview,2,1.0
South Shore Cultural Center,7,0.0
Spikings Farm,2,0.0
Spruce,1,1.0
Stanton,5,0.0
Starr,3,0.0
Stars and Stripes,3,0.0
Stout,3,1.0
Strohacker,1,1.0
Sumac,3,0.0
Sun-Yet Sen,2,0.0
Supera,3,0.0
Superior,2,0.5
Sweet Clover,2,0.0
Sycamore,1,1.0
Taylor,6,0.0
Taylor Lauridsen,7,0.0
Throop,1,0.0
Thuis,1,1.0
Till-Mobley,1,0.0
Tilton,1,0.0
Touhy,7,0.42857142857142855
Touhy-Herbert,2,0.0
Trebes,1,0.0
Triangle,2,0.0
Trumbull,10,0.0
Tuley,14,0.0
Union,10,0.1
Union Gym Building,1,0.0
Unity,4,0.0
Valley Forge,8,0.125
Veteran's Memorial,4,0.0
Violet,1,0.0
Vittum,12,0.0
Vogle,1,1.0
Wallace,2,0.0
Walnut,2,1.0
Walsh,11,0.0
Wang,3,0.0
Ward,6,0.0
Warren,10,0.8
Washington (George),27,0.25925925925925924
Washington (Harold),3,0.0
Washington Memorial,2,0.0
Washington Square,2,0.0
Washtenaw,4,0.75
Webster,2,0.0
Weisman,3,0.0
Welles,15,0.0
Wendt,1,0.0
Wentworth,6,0.16666666666666666
Wentworth Garden,4,0.0
Wesolek,2,1.0
West Chatham,4,0.0
West Lawn,17,0.17647058823529413
West Pullman,5,0.2
Western,2,0.0
White,1,1.0
Wicker,7,0.14285714285714285
Wieboldt,1,1.0
Wildwood,4,1.0
Williams,1,0.0
Williams-Davis,2,0.0
Willye White,4,0.0
Wilson (Frank),6,0.5
Wilson (John) Community Center,3,0.0
Winnemac,3,0.0
Wolcott,2,0.0
Wolfe,2,0.0
Woodhull,4,0.0
Wrightwood,4,1.0
Zatterberg,1,1.0
