park_name,fixture_location,result_value,result_flag,processed_result,exceeds_epa
Barnard,Fountain 2 High*,6.11,,6.11,0
Barnard,Fountain 2 Low*,15.5,,15.5,1
Barrett,Fountain 1,2.6,,2.6,0
Bartelme,Fountain 1 High,<2.0,U,0.0,0
Bartelme,Fountain 1 Middle,<2.0,U,0.0,0
Bartelme,Fountain 1 Low,<2.0,U,0.0,0
Bartelme,Fountain 2 High,<2.0,U,0.0,0
Bartelme,Fountain 2 Dog,<2.0,U,0.0,0
Bauler,Fountain 1*,38,,38.0,1
Beehive,Fountain 1 High,7.41,,7.41,0
Beehive,Fountain 1 Low,6.14,,6.14,0
Bell,Game Room,2.82,J,2.82,0
Bell,Fountain 1*,16.6,,16.6,1
Berger Cultural Ctr Annex,Basement Hallway,0.239,J,0.239,0
Berger,Fountain 1 High,<2.0,U,0.0,0
Berger,Fountain 1 Middle,<2.0,U,0.0,0
Berger,Fountain 1 Low,<2.0,U,0.0,0
Bessemer,North Entrance Lobby,0.342,J,0.342,0
Bessemer,South Entrance Lobby,0.24,J,0.24,0
Bessemer,Fountain 1,<2.0,U,0.0,0
Bessemer,Fountain 2,<2.0,U,0.0,0
Bessemer,Fountain 3,<2.0,U,0.0,0
Bessemer,Fountain 4,6.4,,6.4,0
Bessemer,Fountain 5,<2.0,U,0.0,0
Beverly,Kitchen Sink,3.3,J,3.3,0
Beverly,Fountain 1,13.9,,13.9,0
Beverly,Fountain 2 High,0.519,J,0.519,0
Beverly,Fountain 2 Low,0.523,J,0.523,0
Beverly,Fountain 2 Dog,0.549,J,0.5489999999999999,0
Beverly,Fountain 3*,91.4,,91.4,1
Birch,Fountain 1 High,<2.0,U,0.0,0
Birch,Fountain 1 Low,<2.0,U,0.0,0
Bixler,Fountain 1 High,0.176,J,0.17600000000000002,0
Bixler,Fountain 1 Low,0.185,J,0.185,0
Blackhawk,Women's Restroom,0.263,J,0.263,0
Blackhawk,Outside Preschool Room,0.193,J,0.193,0
Blackhawk,Fountain 1*,22.1,,22.1,1
Blackhawk,Fountain 2*,23.3,,23.3,1
Blackwelder,Fountian 1 High,0.299,J,0.299,0
Blackwelder,Fountian 1 Middle,0.311,J,0.311,0
Blackwelder,Fountian 1 Low,0.361,J,0.361,0
Bogan,Outside Office,2.11,J,2.11,0
Bogan,Fountain 2,0.662,J,0.662,0
Bogan,Fountain 3 High,2.69,J,2.69,0
Bogan,Fountain 3 Low,3.09,J,3.09,0
Bosley,Fountain 1,3.11,J,3.11,0
Boswell,Fountain 1 High*,17.8,,17.8,1
Boswell,Fountain 1 Low*,17.7,,17.7,1
Brainerd,Main Lobby,0.747,J,0.747,0
Brainerd,Women's Locker Room,1.65,J,1.65,0
Brainerd,Men's Locker Room,3.39,J,3.39,0
Brainerd,Fountain 1 High,<0.120,U,0.0,0
Brainerd,Fountain 1 Middle,<0.120,U,0.0,0
Brainerd,Fountain 1 Low,<0.120,U,0.0,0
Brainerd,Fountain 3,5.31,,5.31,0
Brainerd,Fountain 4,0.694,J,0.6940000000000001,0
Bradley,Fountain 2,3,,3.0,0
Bradley,Fountain 3*,17,,17.0,1
Brands,Main Lobby,1.62,J,1.62,0
Brands,Men's Locker Room,9.77,,9.77,0
Brands,Women's Locker Room,2.44,J,2.44,0
Brands,Fountain 2 High,2.11,J,2.11,0
Brands,Fountain 2 Middle,2.19,J,2.19,0
Brands,Fountain 2 Low,2.08,J,2.08,0
Brands,Fountain 3*,27.8,,27.8,1
Brighton,Fountain 1 High,12,,12.0,0
Brighton,Fountain 1 Middle,13,,13.0,0
Brighton,Fountain 1 Low,11.8,,11.8,0
Broadway Armory,Main Lobby,<0.120,U,0.0,0
Broadway Armory,East Side Vestibule,0.189,J,0.18899999999999997,0
Broadway Armory,Kitchen Sink,6.9,,6.9,0
Bromann,Fountain 1 High,<2.0,U,0.0,0
Bromann,Fountain 1 Middle,<2.0,U,0.0,0
Bromann,Fountain 1 Low,<2.0,U,0.0,0
Bronco Billy,Fountain 1 High,4.1,,4.1,0
Bronco Billy,Fountain 1 Low,<2.0,U,0.0,0
Brooks (Gwendolyn),Fountain 1 High,8.1,,8.1,0
Brooks (Gwendolyn),Fountain 1 Low,8.7,,8.7,0
Brooks (Oscar),North Foyer,0.617,J,0.617,0
Brooks (Oscar),2nd Floor Club Room,0.793,J,0.7929999999999999,0
Brooks (Oscar),Fountain 1 High*,145,,145.0,1
Brooks (Oscar),Fountain 1 Low*,83,,83.0,1
Brooks (Oscar),Fountain 2*,46.5,,46.5,1
Brown Memorial,Fountain 1*,41.6,,41.6,1
Brown Memorial,Fountain 2*,76.2,,76.2,1
Brynford,Fountain 1 High,3.91,,3.91,0
Brynford,Fountain 1 Low,3.96,,3.96,0
Burnham,Fountain 1 High,<2.0,U,0.0,0
Burnham,Fountain 1 Low,<2.0,U,0.0,0
Burnham,Fountain 2 High,<2.0,U,0.0,0
Burnham,Fountain 2 Middle,<2.0,U,0.0,0
Burnham,Fountain 2 Low,<2.0,U,0.0,0
Burnham,Fountain 3 High,2.4,,2.4,0
Burnham,Fountain 3 Low,<2.0,U,0.0,0
Burnham,Fountain 4 High,<2.0,U,0.0,0
Burnham,Fountain 4 Low,<2.0,U,0.0,0
Burnham,Fountain 5 High,<2.0,U,0.0,0
Burnham,Fountain 5 Low,<2.0,U,0.0,0
Burnham,Fountain 6 High,<2.0,U,0.0,0
Burnham,Fountain 6 Low,<2.0,U,0.0,0
Burnham,Fountain 7 High,<2.0,U,0.0,0
Burnham,Fountain 7 Low,<2.0,U,0.0,0
Burnham,Fountain 8 High,<2.0,U,0.0,0
Burnham,Fountain 8 Low,<2.0,U,0.0,0
Burnham,Fountain 5.1 High,<2.0,U,0.0,0
Burnham,Fountain 5.1 Low,<2.0,U,0.0,0
Burnham,Fountain 5.2 High,<2.0,U,0.0,0
Burnham,Fountain 5.2 Low,<2.0,U,0.0,0
Burnham,Fountain 9*,24,,24.0,1
Burnham,Fountain 10,2.8,,2.8,0
Burnham,Fountain 11*,60,,60.0,1
Burnham,Fountain 12 High,<2.0,U,0.0,0
Burnham,Fountain 12 Low,<2.0,U,0.0,0
Burnham,Fountain 13 High,<2.0,U,0.0,0
Burnham,Fountain 13 Low,<2.0,U,0.0,0
Burnham,Fountain 14 High,<2.0,U,0.0,0
Burnham,Fountain 14 Low,<2.0,U,0.0,0
Burnham,Fountain 15 High,<2.0,U,0.0,0
Burnham,Fountain 15 Low,<2.0,U,0.0,0
Burnham,Fountain 15-Dog,<2.0,U,0.0,0
Burnham,Fountain 16 High,<2.0,U,0.0,0
Burnham,Fountain 16 Low,<2.0,U,0.0,0
Burnham,Fountain 17,<2.0,U,0.0,0
Burnham,Fountain 18,<2.0,U,0.0,0
Burnham,Fountain 19 High*,37,,37.0,1
Burnham,Fountain 19 Middle*,42,,42.0,1
Burnham,Fountain 19 Low*,40,,40.0,1
Burnham,Fountain 20,2.5,,2.5,0
Burnham,Fountain 21*,24,,24.0,1
Burnham,Fountain 22,<2.0,U,0.0,0
Burnham,Fountain 23,<2.0,U,0.0,0
Burnham,Fountain 24*,21,,21.0,1
Burnham,Fountain 25,<2.0,U,0.0,0
Burnham,Fountain 26,3.9,,3.9,0
Burnham,Fountain 27 South,<2.0,U,0.0,0
Burnham,Fountain 27 East,<2.0,U,0.0,0
Burnham,Fountain 27 North,<2.0,U,0.0,0
Burnham,Fountain 28 High,<2.0,U,0.0,0
Burnham,Fountain 28 Low,<2.0,U,0.0,0
Burnside,Fountain 1,<2.0,U,0.0,0
Burnside,Fountain 2,3.3,,3.3,0
Burnside,Fountain 3,7.4,,7.4,0
Buttercup,Fountain 1 High,<2.0,U,0.0,0
Buttercup,Fountain 1 Middle,<2.0,U,0.0,0
Buttercup,Fountain 1 Low,<2.0,U,0.0,0
