Abbott,"","",""
"",Fountain 1 High ,7.41
"",Fountain 1 Low ,6.14
Bell,"",""
"",Indoor,""
"",Game Room ,2.82 J
"",Outdoor,""
"",Fountain 1* ,16.6
Berger Cultural Ctr Annex,"",""
"",Indoor,""
"",Basement Hallway ,0.239 J
Berger,"",""
"",Outdoor,""
"",Fountain 1 High ,˂2.0 U
"",Fountain 1 Middle ,˂2.0 U
"",Fountain 1 Low ,˂2.0 U
Bessemer,"",""
"",Indoor,""
"",North Entrance Lobby ,0.342 J
"",South Entrance Lobby ,0.24 J
"",Outdoor,""
"",Fountain 1 ,˂2.0 U
"",Fountain 2 ,˂2.0 U
"",Fountain 3 ,˂2.0 U
"",Fountain 4 ,6.4
"",Fountain 5 ,˂2.0 U
Beverly,"",""
"",Indoor,""
"",Kitchen Sink ,3.3 J
"",Outdoor,""
"",Fountain 1 ,13.9
"",Fountain 2 High ,0.519 J
"",Fountain 2 Low ,0.523 J
"",Fountain 2 Dog ,0.549 J
"",Fountain 3* ,91.4
Birch,"",""
"",Outdoor ,""
"",Fountain 1 High ,˂2.0 U
"",Fountain 1 Low ,˂2.0 U
Bixler,"",""
"",Outdoor,""
"",Fountain 1 High ,0.176 J
"",Fountain 1 Low ,0.185 J
Blackhawk,"",""
"",Indoor,""
"",Women's Restroom ,0.263 J
"",Outside Preschool Room ,0.193 J
"",Outdoor,""
"",Fountain 1* ,22.1
"",Fountain 2* ,23.3
Blackwelder,"",""
"",Outdoor,""
"",Fountian 1 High ,0.299 J
"",Fountian 1 Middle ,0.311 J
"",Fountian 1 Low ,0.361 J
Bogan,"",""
"",Indoor,""
"",Outside Office ,2.11  J
"",Outdoor,""
"",Fountain 2 ,0.662 J
"",Fountain 3 High ,2.69 J
"",Fountain 3 Low ,3.09 J
Bosley,"",""
"",Outdoor ,""
"",Fountain 1 ,3.11 J
Boswell,"",""
"",Outdoor,""
"",Fountain 1 High* ,17.8
"",Fountain 1 Low* ,17.7
Brainerd,"",""
"",Indoor,""
"",Main Lobby ,0.747 J
"",Women's Locker Room ,1.65 J
Men's Locker Room ,3.39 J
Outdoor ,""
Fountain 1 High ,<0.120 U
Fountain 1 Middle ,<0.120 U
Fountain 1 Low ,<0.120 U
Fountain 3 ,5.31
Fountain 4 ,0.694 J
Bradley,""
Outdoor,""
Fountain 2 ,3
Fountain 3* ,17
Brands,""
Indoor,""
Main Lobby ,1.62 J
