park_name,score,num_fixtures,geo_park
Cooper,0,4,COOPER (JACK)
Rosenblum,0,6,ROSENBLUM (J. LESLIE)
Adams (John),0,1,ADAMS (JOHN C.)
Grand Crossing,0,11,GRAND CROSSING
Essex,0,3,ESSEX
King,0,2,"KING (MARTIN LUTHER, JR.)"
Rainer,0,3,RAINEY (EDWARD)
Wallace,0,2,WALLACE
Burnside,0,3,BURNSIDE (AMBROSE)
Jackson (Andrew),0.3125,32,JACKSON (ANDREW)
Bradley,0.5,2,BRADLEY (JOSEPHINE)
Euclid,0,6,EUCLID
Coliseum,0,4,COLISEUM
Russell Square,0.5,6,RUSSELL (MARTIN) SQUARE
Avalon,0.4,15,AVALON
Foster,0.2,15,FOSTER (J. FRANK)
Cole,0.428571428571429,7,COLE (NAT KING)
Durkin,0,3,DURKIN (MARTIN)
Owens,0,6,OWENS (JESSE)
Marshfield,0,2,MARSHFIELD
Lee,0,2,LEE (JOHN)
Burnham,0.134615384615385,52,BURNHAM GREENWAY
Robinson,0,6,ROBINSON (JACKIE)
Wolfe,0,2,WOLFE (RICHARD)
Challenger,0,3,CHALLENGER
McKiernan,0.333333333333333,3,MCKIERNAN (DAVID)
Cresent,0,1,CRESCENT
Lamb,1,1,LAMB (HAROLD)
Blackwelder,0,3,"BLACKWELDER (I.S., GERTRUDE)"
Morgan Field,0,1,MORGAN (THOMAS LEEDS) FIELD
Palmer Square,0,4,PALMER (POTTER)
Palmer Men's Gym Building,0,1,PALMER (POTTER)
Palmer Ceramics Building,0,1,PALMER (POTTER)
Palmer,0.153846153846154,13,PALMER (POTTER)
Arcade,1,1,ARCADE
Mt. Greenwood,0.363636363636364,11,MOUNT GREENWOOD
Langley,0,5,LANGLEY
Ada,0,6,ADA (SAWYER GARRETT)
Kennedy,0.25,12,KENNEDY (DENNIS)
Rowan,0.333333333333333,6,ROWAN (WILLIAM)
Kensington,1,1,KENSINGTON
White,1,1,WHITE (EDWARD)
West Pullman,0.2,5,WEST PULLMAN
Mann,0,12,MANN (JAMES)
Golden Gate,0,2,GOLDEN GATE
Wesolek,1,2,WESOLEK (MARLENE)
Renaissance,0,1,RENAISSANCE
Park 514,0,4,PARK NO. 514
Horner,0.5,26,HORNER (HENRY)
Zatterberg,1,1,ZATTERBERG (HELEN)
Kolmar,1,1,KOLMAR
Portage Senior Center,0,2,PORTAGE
Portage,0.52,25,PORTAGE
Dickinson,0,3,DICKINSON (ARTHUR)
Kelly,0,4,KELLY (JOHN)
Revere Boys & Girls Club,0,2,REVERE (PAUL)
Revere,0.25,8,REVERE (PAUL)
Filbert,0,3,FILBERT
Independence,0.181818181818182,11,INDEPENDENCE
Gill,0.428571428571429,7,GILL (JOSEPH)
Tilton,0,1,TILTON (GEORGE)
Mason,0,2,MASON (ELIZABETH)
Starr,0,3,STARR (ELLEN GATES)
Union Gym Building,0,1,UNION
Union,0.1,10,UNION
Metcalfe,1,4,METCALFE (RALPH)
Taylor Lauridsen,0,7,"TAYLOR-LAURIDSEN (JOHN, EMIL)"
Sumac,0,3,SUMAC
O'Hallaren,0.166666666666667,6,O'HALLAREN (BERNARD)
Bessemer,0,7,BESSEMER (HENRY)
Hayes,0.181818181818182,11,HAYES (FRANCIS)
Scottsdale,0,2,SCOTTSDALE
Tuley,0,14,TULEY (MURRAY)
Dixon,0,2,DIXON (LORRAINE)
Brown Memorial,1,2,BROWN (SIDNEY) MEML.
Robichaux,0.142857142857143,7,ROBICHAUX (JOSEPH)
Brainerd,0,8,BRAINERD
Merrimac,0,9,MERRIMAC
Merryman,0,3,MERRYMAN (THERON)
Juniper,1,1,JUNIPER
Sacramento,1,2,SACRAMENTO
Sheil,0,4,SHEIL (BERNARD) COMM. CTR.
Kilborn,0.428571428571429,7,KILBOURN
Douglas,0.142857142857143,14,DOUGLAS (STEPHEN)
Hiawatha,0.142857142857143,7,HIAWATHA
Wendt,0,1,WENDT (KENNETH)
Chopin,0.2,5,CHOPIN (FREDERIC)
Avondale,0,3,AVONDALE
Brands,0.142857142857143,7,BRANDS
Park View,1,2,PARK-VIEW
Fellger,0,2,FELLGER (CHARLES)
