park_name,score,num_fixtures
Lindbloom,0.3333333333333333,6
Linden,0.0,1
Limas,1.0,1
Little Venice,0.0,1
Livingston,0.0,4
Lowe,0.0,4
Loyola,0.18181818181818182,11
Luella,0.6666666666666666,3
Luna,1.0,1
Lunt,0.0,1
Maggie Daley,0.0,3
Magnolia,0.0,1
Malus,1.0,2
Mandrake,0.0,9
Mann,0.0,12
Maple,1.0,1
Maplewood,1.0,3
Marquette,0.12,25
Marshfield,0.0,2
Mason,0.0,2
Matanky,0.0,1
Mather,0.0,5
Mayfair,0.0,4
McFetridge,0.0,4
McGuane,0.3125,16
McInerney,0.0,1
McKiernan,0.3333333333333333,3
McKinley,0.2,10
Mellin,0.0,3
Memorial Playlot,0.3333333333333333,3
Merrill,0.0,1
Merrimac,0.0,9
Merryman,0.0,3
Metcalfe,1.0,4
Meyering,0.0,4
Miami,0.0,3
Micek,0.0,3
Midway Plaisance,0.16666666666666666,6
Miller,1.0,2
Minuteman,1.0,4
Moccasin Ranch,1.0,1
Monticello,0.0,1
Monument,1.0,1
Moore,0.0,5
Moran,0.5,4
Morgan Field,0.0,1
Morgan Park Sports Center,0.0,4
Mozart,0.3333333333333333,3
Mt. Greenwood,0.23529411764705882,17
Mulberry,0.0,1
Munroe,0.0,5
Murray,1.0,2
Nichols,0.2,5
Ninebark,1.0,1
Noethling,0.5,2
Normandy,0.2,5
North Mayfair,1.0,1
North Park Village Nature Center,0.0,1
Northerly Island,0.0,5
Norwood Park,0.3333333333333333,15
Nottingham,0.0,2
Oakdale,0.14285714285714285,7
Ogden,0.0,8
O'Hallaren,0.16666666666666666,6
Ohio,0.0,3
Ohio and Harding,1.0,2
Olympia,0.3333333333333333,6
Oriole,0.3,10
Owens,0.0,6
Oz,0.625,8
Packingtown,1.0,1
Palmer,0.15384615384615385,13
Palmer Ceramics Building,0.0,1
Palmer Men's Gym Building,0.0,1
Palmer Square,0.0,4
Palmisano,0.0,2
Park 399,0.0,2
Park 442,1.0,1
Park 500,0.0,1
Park 514,0.0,4
Park 551,0.0,4
Park 552,0.0,2
Park 556,0.0,3
Park 568,0.0,2
Park 569,0.0,3
Park 572,0.0,9
Park 574,0.0,3
Park View,1.0,2
Park West,1.0,2
Parsons,0.0,3
Paschen,1.0,1
Pasteur,0.3333333333333333,3
Periwinkle,1.0,2
Peterson,0.4,5
Pietrowski,0.0,2
Pine,0.0,2
Ping Tom,0.0,13
Piotrowski,0.17391304347826086,23
Pleasant Point,0.0,3
Poplar,0.0,2
Portage,0.52,25
Portage Senior Center,0.0,2
Pottawatomie,0.1111111111111111,9
Pritzker,0.0,2
Privet,1.0,1
Prospect Gardens,0.5,2
Pulaski,0.0,10
Railroad Junction,1.0,1
Rainbow Beach,0.1111111111111111,9
Rainer,0.0,3
Ravenswood Manor,0.0,1
Renaissance,0.0,1
Revere,0.25,8
Revere Boys & Girls Club,0.0,2
Reyes,1.0,1
Ridge,0.125,8
Riis,0.2222222222222222,18
River,0.0,16
Roberts Square,0.0,1
Robichaux,0.14285714285714285,7
Robinson,0.0,6
Rogers,0.4,5
Rogers Beach,1.0,2
Ronan,0.0,5
Roosevelt,1.0,1
Rosedale,0.0,5
Rosenblum,0.0,6
Rowan,0.3333333333333333,6
Russell Square,0.5,6
Rutherford Sayre,0.0,7
Sacramento,1.0,2
Sauganash,0.0,6
Schaefer,1.0,1
Schreiber,0.0,5
Scottsdale,0.0,2
Seneca,0.0,2
Senka,0.0,11
Senn,0.3,10
Seward,0.14285714285714285,7
Shabonna,0.15384615384615385,13
Shedd,0.0,4
Sheil,0.0,4
Sheridan,0.16666666666666666,12
Sherman,0.3076923076923077,13
Sherwood,0.0,6
Simons,0.6666666666666666,3
Skinner,0.0,11
Smith (Joseph Higgins),0.4444444444444444,9
Smith (Wendell),0.5,4
Snapping Turtle,0.0,1
Snowberry,0.0,1
South Lakeview,1.0,2
South Shore Cultural Center,0.0,7
Spikings Farm,0.0,2
Spruce,1.0,1
Stanton,0.0,5
Starr,0.0,3
Stars and Stripes,0.0,3
Stout,1.0,3
Strohacker,1.0,1
Sumac,0.0,3
Sun-Yet Sen,0.0,2
Supera,0.0,3
Superior,0.5,2
Sweet Clover,0.0,2
Sycamore,1.0,1
Taylor,0.0,6
Taylor Lauridsen,0.0,7
Throop,0.0,1
Thuis,1.0,1
Till-Mobley,0.0,1
Tilton,0.0,1
Touhy,0.42857142857142855,7
Touhy-Herbert,0.0,2
Trebes,0.0,1
Triangle,0.0,2
Trumbull,0.0,10
Tuley,0.0,14
Union,0.1,10
Union Gym Building,0.0,1
Unity,0.0,4
Valley Forge,0.125,8
Veteran's Memorial,0.0,4
Violet,0.0,1
Vittum,0.0,12
Vogle,1.0,1
Wallace,0.0,2
Walnut,1.0,2
Walsh,0.0,11
Wang,0.0,3
Ward,0.0,6
Warren,0.8,10
Washington (George),0.25925925925925924,27
Washington (Harold),0.0,3
Washington Memorial,0.0,2
Washington Square,0.0,2
Washtenaw,0.75,4
Webster,0.0,2
Weisman,0.0,3
Welles,0.0,15
Wendt,0.0,1
Wentworth,0.16666666666666666,6
Wentworth Garden,0.0,4
Wesolek,1.0,2
West Chatham,0.0,4
West Lawn,0.17647058823529413,17
West Pullman,0.2,5
Western,0.0,2
White,1.0,1
Wicker,0.14285714285714285,7
Wieboldt,1.0,1
Wildwood,1.0,4
Williams,0.0,1
Williams-Davis,0.0,2
Willye White,0.0,4
Wilson (Frank),0.5,6
Wilson (John) Community Center,0.0,3
Winnemac,0.0,3
Wolcott,0.0,2
Wolfe,0.0,2
Woodhull,0.0,4
Wrightwood,1.0,4
Zatterberg,1.0,1
