School Short Name,Facility ID,Sample ID #,Sample Location,Sample Collection Time & Date,,Test Result (ppb),Test Results
Young HS-Building A,51568,51568-2-210C-S02-04,rm 210C Storage,7:05AM,7.7,BA
Young HS-Building A,51568,51568-2-210C-S02-05,rm 210C Storage,7:05AM,4.5,BA
Young HS-Building A,51568,51568-2-HAL-F07-01,Hall outside Storage RM Left,7:10AM,0.96,BA
Young HS-Building A,51568,51568-2-HAL-F07-02,Hall outside Storage RM Left,7:10AM,74,AA
Young HS-Building A,51568,51568-2-HAL-F07-03,Hall outside Storage RM Left,7:10AM,0.64,BA
Young HS-Building A,51568,51568-2-HAL-F07-04,Hall outside Storage RM Left,7:10AM,0.64,BA
Young HS-Building A,51568,51568-2-HAL-F07-05,Hall outside Storage RM Left,7:10AM,0.6,BA
Young HS-Building A,51568,51568-2-HAL-F08-01,Hall outside Storage RM Right,7:15AM,0.61,BA
Young HS-Building A,51568,51568-2-HAL-F08-02,Hall outside Storage RM Right,7:15AM,0.64,BA
Young HS-Building A,51568,51568-2-HAL-F08-03,Hall outside Storage RM Right,7:15AM,0.57,BA
Young HS-Building A,51568,51568-2-HAL-F08-04,Hall outside Storage RM Right,7:15AM,0.47,BA
Young HS-Building A,51568,51568-2-HAL-F08-05,Hall outside Storage RM Right,7:15AM,0.37,BA
Young HS-Building A,51568,51568-1-HAL-F01-01,Main Entrance Left Fountain,7:20AM,0.71,BA
Young HS-Building A,51568,51568-1-HAL-F01-02,Main Entrance Left Fountain,7:20AM,0.2,BA
Young HS-Building A,51568,51568-1-HAL-F01-03,Main Entrance Left Fountain,7:20AM,0.6,BA
Young HS-Building A,51568,51568-1-HAL-F01-04,Main Entrance Left Fountain,7:20AM,0.64,BA
Young HS-Building A,51568,51568-1-HAL-F01-05,Main Entrance Left Fountain,7:20AM,0.27,BA
Young HS-Building A,51568,51568-1-HAL-WC01-01,Main Entrance Water Cooler,7:25AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-WC01-02,Main Entrance Water Cooler,7:25AM,<0.50,BA
Young HS-Building A,51568,51568-1-HAL-WC01-03,Main Entrance Water Cooler,7:25AM,<0.50,BA
