Sample ID #,Sample Location,Sample Collection Time & Date,Test Result (ppb),Test Results
54776-3-HAL-F01-002,Across Library  Right,7:55AM,<0.50,BA
54776-3-HAL-F01-003,Across Library  Right,7:55AM,<0.50,BA
54776-3-HAL-F01-004,Across Library  Right,7:55AM,<0.50,BA
54776-3-HAL-F01-005,Across Library  Right,7:55AM,<0.50,BA
54776-3-HAL-F02-001,Across Library Middle,7:57AM,0.2,BA
54776-3-HAL-F02-002,Across Library Middle,7:57AM,0.25,
54776-3-HAL-F02-003,Across Library Middle,7:57AM,<0.50,BA
54776-3-HAL-F02-004,Across Library Middle,7:57AM,0.18,BA
54776-3-HAL-F02-005,Across Library Middle,7:57AM,0.17,BA
54776-3-HAL-F03-001,Across Library  Left,7:59AM,0.22,BA
54776-3-HAL-F03-002,Across Library  Left,7:59AM,0.21,BA
54776-3-HAL-F03-003,Across Library  Left,7:59AM,0.2,BA
54776-3-HAL-F03-004,Across Library  Left,7:59AM,0.21,BA
54776-3-HAL-F03-005,Across Library  Left,7:59AM,0.2,BA
54776-3-HAL-F04-001,Across RM 324 Right,8:01AM,<0.50,BA
54776-3-HAL-F04-002,Across RM 324 Right,8:01AM,<0.50,BA
54776-3-HAL-F04-003,Across RM 324 Right,8:01AM,<0.50,BA
54776-3-HAL-F04-004,Across RM 324 Right,8:01AM,0.17,BA
54776-3-HAL-F04-005,Across RM 324 Right,8:01AM,<0.50,BA
54776-3-HAL-F05-001,Across RM 324 Middle,8:04AM,<0.50,BA
54776-3-HAL-F05-002,Across RM 324 Middle,8:04AM,<0.50,BA
54776-3-HAL-F05-003,Across RM 324 Middle,8:04AM,<0.50,BA
54776-3-HAL-F05-004,Across RM 324 Middle,8:04AM,<0.50,BA
54776-3-HAL-F05-005,Across RM 324 Middle,8:04AM,<0.50,BA
54776-3-HAL-F06-001,Across RM 324 Left,8:07AM,<0.50,BA
54776-3-HAL-F06-002,Across RM 324 Left,8:07AM,<0.50,BA
54776-3-HAL-F06-003,Across RM 324 Left,8:07AM,<0.50,BA
54776-3-HAL-F06-004,Across RM 324 Left,8:07AM,<0.50,BA
54776-3-HAL-F06-005,Across RM 324 Left,8:07AM,<0.50,BA
,,,,
